GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Generación de extractos AV Villas,avvillas.core.web.configuration,SecurityConfiguration,141,74,2,2,19,14,6,5,4,5
Generación de extractos AV Villas,avvillas.core.web.configuration,AsyncConfig,0,124,0,0,0,28,0,4,0,4
Generación de extractos AV Villas,avvillas.core.web.configuration,CorsConfig,0,34,0,0,0,8,0,2,0,2
Generación de extractos AV Villas,avvillas.core.web.configuration,CustomAccessDeniedHandler,0,29,0,0,0,8,0,3,0,3
Generación de extractos AV Villas,avvillas.core.web.configuration,CustomJwtAuthenticationConverter,16,0,0,0,6,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.service.implementations,EmailNotificationServiceImpl,119,10,7,0,23,2,7,2,3,2
Generación de extractos AV Villas,avvillas.core.service.dto.path_index_file,PathExtractsArchiveIndexDto,281,17,54,0,5,4,40,5,13,5
Generación de extractos AV Villas,avvillas.core.service.dto,UserNameAndEmailDto,167,0,30,0,6,0,27,0,12,0
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,ExtractProperties.ConsumerPool,74,82,19,1,0,8,13,10,3,10
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,InMemoryPdf,9,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,ExtractProperties.ProducerPool,83,99,21,1,0,10,14,12,3,12
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,ExtractProperties.Performance,97,108,26,2,0,9,17,12,3,12
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,ExtractProperties,92,81,27,3,0,4,18,8,3,8
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,ExtractProperties.State,45,50,10,0,0,5,8,6,3,6
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.config,ExtractProperties.Process,89,75,27,3,0,4,18,8,3,8
Generación de extractos AV Villas,avvillas.core.persistence.mapper,IndexFileMapperImpl,91,3,10,0,25,1,7,1,2,1
Generación de extractos AV Villas,avvillas.core.persistence.mapper,ExtractMapperImpl,75,3,10,0,21,1,7,1,2,1
Generación de extractos AV Villas,avvillas.core.constant.fields,IndexFileFieldNames,49,0,0,0,10,0,3,0,3,0
Generación de extractos AV Villas,avvillas.core.util,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
Generación de extractos AV Villas,avvillas.core.service.implementations.index_file_generation_impl,IndexFileProcessorLogic,148,664,21,35,31,119,18,19,1,8
Generación de extractos AV Villas,avvillas.core.service.implementations.index_file_generation_impl,IndexFileAsyncProcessor,0,16,0,0,0,5,0,2,0,2
Generación de extractos AV Villas,avvillas.core.service.implementations.index_file_generation_impl,IndexFileServiceImpl,37,169,4,2,11,31,3,7,0,7
Generación de extractos AV Villas,avvillas.core.web.controller,IndexFileController,15,18,0,0,3,4,1,2,1,2
Generación de extractos AV Villas,avvillas.core.web.controller,ApiResponse,0,43,0,0,0,12,0,7,0,7
Generación de extractos AV Villas,avvillas.core.web.controller,ExtractController,19,30,2,2,3,6,3,2,1,2
Generación de extractos AV Villas,avvillas.core.service.dto.content_index_file,RequiredFieldsResDto,179,17,38,0,2,3,27,5,8,5
Generación de extractos AV Villas,avvillas.core.service.dto.content_index_file,ContentIndexFileDto,214,24,46,0,2,4,31,7,8,7
Generación de extractos AV Villas,avvillas.core.service.dto.content_index_file,ContentIndexFileDto.TypeFile,0,15,0,0,0,3,0,1,0,1
Generación de extractos AV Villas,avvillas.core.service.dto.content_index_file,InputProductStructureFieldNameResDto,164,0,30,0,5,0,26,0,11,0
Generación de extractos AV Villas,avvillas.core.web.configuration.security,FilterConfig,0,25,0,0,0,6,0,2,0,2
Generación de extractos AV Villas,avvillas.core.service.specification,ExtractSpecification,43,0,4,0,9,0,9,0,7,0
Generación de extractos AV Villas,avvillas.core.service.specification,IndexFileSpecification,25,0,0,0,5,0,5,0,5,0
Generación de extractos AV Villas,avvillas.core.service.specification,SpecificationUtils,0,53,0,8,0,10,0,8,0,4
Generación de extractos AV Villas,avvillas.core.service.dto.extract,ExtractResDto,368,0,64,0,11,0,54,0,22,0
Generación de extractos AV Villas,avvillas.core.service.dto.extract,ExtractDto,197,38,46,0,0,6,27,11,4,11
Generación de extractos AV Villas,avvillas.core.service.dto.format,FormatDto.ElementResponse,137,24,26,0,1,4,19,7,6,7
Generación de extractos AV Villas,avvillas.core.service.dto.format,FormatDto.Margins,127,0,14,0,5,0,20,0,13,0
Generación de extractos AV Villas,avvillas.core.service.dto.format,FormatDto.PdfConfigResponse,196,0,38,0,5,0,32,0,13,0
Generación de extractos AV Villas,avvillas.core.service.dto.format,FormatDto,374,10,70,0,8,3,54,3,19,3
Generación de extractos AV Villas,avvillas.core.service.dto.format,FormatDto.PageResponse,89,10,16,0,1,2,14,3,6,3
Generación de extractos AV Villas,avvillas.core,CoreApplication,5,3,0,0,2,1,1,1,1,1
Generación de extractos AV Villas,avvillas.core.service.dto.util,PageResponse,274,10,34,0,8,3,36,3,19,3
Generación de extractos AV Villas,avvillas.core.constant.enums,LoadStatus,0,21,0,0,0,4,0,1,0,1
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,HtmlTemplateServiceImpl,226,19,28,0,41,2,17,2,3,2
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,ProcessStateServiceImpl,193,18,18,0,42,3,14,2,5,2
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,ExtractProcessorServiceImpl,622,34,32,0,108,12,22,2,6,2
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,BarcodeServiceImpl,58,3,4,0,13,1,3,1,1,1
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,ExtractOrchestratorServiceImpl,289,31,10,0,69,2,12,2,7,2
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,PdfGenerationServiceImpl,8,84,1,3,0,26,2,6,1,5
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,ClientDataServiceImpl,17,228,3,11,5,52,4,11,1,7
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,ProcessStateServiceImpl.ProgressState,12,0,0,0,3,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.configuration.deserializer,StrictBooleanDeserializer,27,0,4,0,7,0,4,0,2,0
Generación de extractos AV Villas,avvillas.core.constant.message,EntryMessage,3,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,RequestWrapper,81,426,12,26,20,71,12,27,3,17
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,ApiKeyAuthFilter,43,27,6,2,7,10,4,2,0,2
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,InjectionFilter,0,27,0,2,0,9,0,5,0,4
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,RequestWrapper.new ServletInputStream() {...},15,13,2,0,3,2,4,2,3,2
Generación de extractos AV Villas,avvillas.core.service.dto.product,ProductCodeDescriptionDTO,146,18,30,0,2,3,23,3,8,3
Generación de extractos AV Villas,avvillas.core.service.dto.product,ProductDTO,293,24,62,0,4,4,43,7,12,7
Generación de extractos AV Villas,avvillas.core.web.traits,UserTrait.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.traits,UserTrait.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.traits,ProductTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
